"Date","Location","Distributed","Distributed_Janssen","Distributed_Moderna","Distributed_Pfizer","Distributed_Unk_Manuf","Dist_Per_100K","Administered","Administered_Janssen","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Admin_Per_100K","Recip_Administered","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_Janssen","Series_Complete_Moderna","Series_Complete_Pfizer","Series_Complete_Unk_Manuf","Additional_Doses","Additional_Doses_Vax_Pct","Additional_Doses_Moderna","Additional_Doses_Pfizer","Additional_Doses_Janssen","Additional_Doses_Unk_Manuf"
2020-12-16,"AR",25350,0,0,0,0,840,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MT",9750,0,0,0,0,912,444,0,0,444,0,42,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"MD",1950,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"SC",42900,0,0,0,0,833,2576,0,0,2576,0,50,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"IA",5850,0,0,0,0,185,399,0,0,399,0,13,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"HI",4875,0,0,0,0,344,330,0,0,330,0,23,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-16,"NY",90675,0,0,0,0,466,2363,0,0,2363,0,12,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"AZ",58500,0,0,0,0,804,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"NH",10725,0,0,0,0,789,1990,0,0,1990,0,146,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"MN",46800,0,0,0,0,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
2020-12-17,"WI",49725,0,0,0,0,854,1002,0,0,1002,0,17,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
